,shopnum,onorder
0,17,33.55769230769231
1,46,0.0
2,202,108.5
3,203,109.28846153846153
4,204,128.42307692307693
5,207,21.03846153846154
6,208,38.36538461538461
7,209,81.98076923076923
8,211,54.55769230769231
9,212,41.25
10,214,53.75
11,215,67.8076923076923
12,219,415.0576923076923
13,220,45.80769230769231
14,222,102.46153846153847
15,231,76.03846153846153
16,233,37.07692307692308
17,234,34.03846153846154
18,236,56.96153846153846
19,237,73.51923076923077
20,238,96.13461538461539
21,246,77.46153846153847
22,259,45.82692307692308
23,271,73.23076923076923
24,278,34.57692307692308
25,384,100.76923076923077
